id,英文名,中文名,英文地址,纬度,经度,英文城市,中文城市,google纬度,google经度,高德纬度,高德经度,距离,距离分类,选择的纬度,选择的经度,选择的经纬度,原始经纬度
3264,Sofitel Zhengzhou Hotel,郑州索菲特国际饭店,115 Jinshui Road,34.761886,113.692361,Zhengzhou,郑州,113.6895591,34.76426179,113.6863221,34.7629777,0.367782971,0.5,113.6895591,34.76426179,"34.761886,113.692361","34.764261793533706,113.68955910698692"
3410,Sofitel Jinan Silver Plaza Hotel,济南索菲特银座大饭店,"No.66 Luoyuan Avenue, Lixia Area",36.660002,117.030594,Jinan,济南,117.0247589,36.65991639,117.0239123,36.65927005,0.52178402,1,117.0247589,36.65991639,"36.660002,117.030594","36.65991638538158,117.02475888246285"
3447,Holiday Inn Hefei,合肥古井假日酒店,No.1104 East Chang Jiang Road,31.864305,117.301361,Hefei,合肥,117.2960418,31.86695298,117.2961516,31.86655872,0.55269094,1,117.2961516,31.86655872,"31.864305,117.301361","31.86655871945856,117.29615163635803"
3465,Xinqiao Hotel,新侨饭店,226 Jie Fang Road,30.250541,120.165496,Hangzhou,杭州,120.1610988,30.25356432,120.1608561,30.25338888,0.539833446,1,120.1610988,30.25356432,"30.250541,120.165496","30.25356431940892,120.16109881170263"
3504,Ramada Pearl Hotel,广州凯旋华美达大酒店,"No.9 Ming Yue Yi Road, Guangzhou Da Dao Zhong",23.113355,113.31287,Guangzhou,广州,,,113.3082174,23.11656017,0.594251447,1,113.3082174,23.11656017,"23.113355,113.31287","23.116560168609702,113.30821739551926"
3587,King Wing Hot Spring Hotel,北京京瑞温泉国际酒店,"N0. 17 South Road of East 3rd Ring Circle, Chaoyang District",39.870503,116.459774,Beijing,北京,116.4541738,39.86837505,116.4539651,39.86848955,0.534223766,1,116.4541738,39.86837505,"39.870503,116.459774","39.868375048694304,116.45417375829956"
3648,Central Hotel,王宝和大酒店,No.555 Jiujiang road,31.235023,121.480591,Shanghai,上海,121.4763615,31.23687219,121.4759491,31.2366851,0.452100211,0.5,121.4763615,31.23687219,"31.235023,121.480591","31.236872190518277,121.47636149365773"
3707,Grand Hyatt Beijing Hotel,北京东方君悦大酒店,No. 1 East Chang An Ave ,39.909485,116.414536,Beijing,北京,116.4114578,39.90722865,116.408284,39.90836508,0.363379703,0.5,116.4114578,39.90722865,"39.909485,116.414536","39.907228647099664,116.41145779341917"
4022,Novotel Shanghai Atlantis,海神诺富特大酒店,728 Pu Dong avenue,31.239334,121.524773,Shanghai,上海,121.5202028,31.24202378,121.5204044,31.24138812,0.474413682,0.5,121.5204044,31.24138812,"31.239334,121.524773","31.241388123146763,121.52040437410032"
4072,Shanghai Marriott Hotel Hongqiao,上海万豪虹桥大酒店,2270 Hong Qiao Road,31.189859,121.372962,Shanghai,上海,,,121.3719049,31.19343562,0.409148592,0.5,121.3719049,31.19343562,"31.189859,121.372962","31.193435623982833,121.37190494210213"
4083,Ocean Hotel,远洋宾馆,1171 Dong Da Ming Road,31.251777,121.510055,Shanghai,上海,121.4969742,31.25068628,121.5057806,31.25471725,0.521575409,1,121.5057806,31.25471725,"31.251777,121.510055","31.254717251435125,121.50578055097374"
4180,Crowne Plaza Shenyang Zhongshan,沈阳中山皇冠假日酒店,208 Nanjing North Street,41.794205,123.408134,Shenyang,沈阳,123.4020224,41.79227634,123.4019614,41.79190234,0.551307649,1,123.4020224,41.79227634,"41.794205,123.408134","41.792276337848186,123.40202238035819"
4216,Harbour Plaza Hotel,重庆海逸酒店,Wuyi Road,29.554942,106.575108,Chongqing,重庆,,,106.5749129,29.55969966,0.527700829,1,106.5749129,29.55969966,"29.554942,106.575108","29.559699655817152,106.57491293196007"
4346,The Great Wall Hotel Beijing,北京长城饭店,"10 North Dong San Huan Road, Chaoyang District ",39.944226,116.463833,Beijing,北京,116.4565678,39.9426855,116.5499771,40.38278101,0.644042244,1,116.4565678,39.9426855,"39.944226,116.463833","39.942685498704755,116.45656782154909"
4445,Guangzhou Hotel,北京广州大厦,"A3, Xidan Heng Er Tiao, Xicheng Distrrict ",39.911061,116.376328,Beijing,北京,,,116.369822,39.91009737,0.566495099,1,116.369822,39.91009737,"39.911061,116.376328","39.910097373764216,116.36982196881411"
4560,InterContinental Shanghai Pudong,上海锦江汤臣洲际大酒店,No. 777 Zhangyang Road,31.229137,121.521523,Shanghai,上海,121.5174934,31.23117273,121.5173088,31.23155004,0.445347114,0.5,121.5174934,31.23117273,"31.229137,121.521523","31.23117272830664,121.51749342611559"
4594,Holiday Inn Shenzhen Donghua Hotel,深圳东华假日酒店,"No. 2307 Donghua Park, Nanhai Road, Nanshan District",22.521021,113.928741,Shenzhen,深圳,,,113.9234991,22.52403284,0.63408463,1,113.9234991,22.52403284,"22.521021,113.928741","22.524032836441034,113.92349911349112"
4649,Xiyuan Hotel,北京西苑饭店  ,"1 Sanlihe Road, HaidianDistrict",39.937251,116.33219,Beijing,北京,116.3258503,39.93557978,116.3260692,39.93267648,0.572765098,1,116.3258503,39.93557978,"39.937251,116.33219","39.93557977924319,116.32585029859204"
4720,Luxemon Xinjiang Hongfu Hotel,新疆尊茂鸿福大酒店,"No.160,Wuyi Road,Shayibake District",43.789215,87.600288,Urumqi,乌鲁木齐,87.5983674,43.78794484,87.59771052,43.78772982,0.209318578,0.5,87.5983674,43.78794484,"43.789215,87.600288","43.78794483779637,87.59836740449482"
4767,Century Plaza Hotel,新都酒店,"No.4001 Chunfeng Road, Luo Hu District",22.535791,114.117653,Shenzhen,深圳,114.1127497,22.53845586,114.1128068,22.53853191,0.58365279,1,114.1128068,22.53853191,"22.535791,114.117653","22.538531905177205,114.11280678894074"
4824,Crowne Plaza Hotel & Suites Landmark Shenzhen,深圳富苑皇冠假日套房酒店,No.3018 Nan Hu Road,22.542253,114.120674,Shenzhen,深圳,114.1154998,22.54468383,114.1157913,22.54497908,0.585998508,1,114.1157913,22.54497908,"22.542253,114.120674","22.54497907981565,114.11579125854507"
4863,"Radisson Blu Hotel, Beijing",北京皇家大饭店,6A East Beisanhuan Road,39.960098,116.442741,Beijing,北京,,,116.4361401,39.95894197,0.578432733,1,116.4361401,39.95894197,"39.960098,116.442741","39.9589419666469,116.43614007887504"
4977,Beijing International Hotel,北京国际饭店   ,9 Jian Guomennei Ave Chao Yang Dist.,39.908913,116.428921,Beijing,北京,116.4232216,39.90811405,116.3953259,39.9631837,0.495354962,0.5,116.4232216,39.90811405,"39.908913,116.428921","39.90811404563376,116.42322155196274"
5124,South Union Hotel,南方联合大酒店,"2002 Shennan East Road, Luohu District",22.545399,114.13029,Shenzhen,深圳,114.1250984,22.54814188,114.1248288,22.54817455,0.614354949,1,114.1250984,22.54814188,"22.545399,114.13029","22.54814188115781,114.1250983945859"
5194,Crowne Plaza Qingdao,青岛颐中皇冠假日酒店,No.76 Central Hong Kong Road,36.064407,120.399849,Qingdao,青岛,,,120.3945376,36.06393027,0.481424041,0.5,120.3945376,36.06393027,"36.064407,120.399849","36.06393026556248,120.39453758184035"
5221,Grand Hotel,北京贵宾楼饭店,No. 35 East Chang An Avenue ,39.908148,116.406873,Beijing,北京,116.4013953,39.90710252,116.4013542,39.9073985,0.479184289,0.5,116.4013542,39.9073985,"39.908148,116.406873","39.90739849865977,116.40135422970287"
5290,The Presidential Hotel Beijing,北京国宾酒店,"9 Fuchengmenwai Road, Xicheng District",39.923857,116.349721,Beijing,北京,,,116.3440116,39.92288576,0.499865439,0.5,116.3440116,39.92288576,"39.923857,116.349721","39.92288575692369,116.34401157904063"
5460,Sheraton Guilin Hotel,桂林喜来登饭店,"No.15, Bin Jiang Road",25.27397,110.299538,Guilin,桂林,110.2948339,25.27670642,110.2945016,25.27682896,0.562482613,1,110.2948339,25.27670642,"25.27397,110.299538","25.276706424374648,110.294833938536"
5620,Qianmen Jianguo Hotel,北京前门建国饭店,"175 Yongan Road, Xicheng District ",39.886639,116.385728,Beijing,北京,116.3805373,39.88573023,116.3795121,39.88533495,0.455310418,0.5,116.3805373,39.88573023,"39.886639,116.385728","39.88573023237044,116.38053730121678"
5741,Jinglun Hotel,北京京伦饭店,No.3 Jianguomenwai Da Jie,39.908931,116.454831,Beijing,北京,116.4494679,39.90767843,116.4487549,39.90769986,0.479214028,0.5,116.4494679,39.90767843,"39.908931,116.454831","39.907678426527234,116.44946788902044"
5746,Hilton Chongqing,重庆希尔顿酒店,"No. 139 Zhong Shan San Lu, Yuzhong District",29.555059,106.549492,Chongqing,重庆,106.5454754,29.55811592,106.5457249,29.55797718,0.487759988,0.5,106.5457249,29.55797718,"29.555059,106.549492","29.557977179587667,106.54572493222135"
5801,Redstar Culture Hotel,杭州红星文化大酒店,280 Jianguo South Road,30.243889,120.179009,Hangzhou,杭州,120.1742918,30.24589565,120.1742095,30.24627847,0.505591295,1,120.1742918,30.24589565,"30.243889,120.179009","30.245895652500376,120.17429178707759"
5824,White Swan Hotel,白天鹅宾馆,No.1 Shamian South Street,23.105931,113.242701,Guangzhou,广州,113.2349945,23.1101448,113.2372902,23.10851619,0.623861511,1,113.2372902,23.10851619,"23.105931,113.242701","23.108516191422826,113.23729020408085"
5896,Gloria Plaza Hotel Shenyang,沈阳凯莱酒店,"32 Yingbin Street, Beizhan Road, Shenhe District",41.815602,123.434945,Shenyang,沈阳,123.4288268,41.81316255,123.4285745,41.8128721,0.576068676,1,123.4288268,41.81316255,"41.815602,123.434945","41.81316255466868,123.42882675090628"
5942,Beijing Hotel,北京饭店   ,No.33 East Chang An Avenue ,39.90837,116.411026,Beijing,北京,116.4021626,39.90712971,116.330082,39.90887481,0.770309851,1,116.4021626,39.90712971,"39.90837,116.411026","39.90712970516027,116.40216257478637"
5948,Metropark Lido Hotel,北京丽都维景酒店,No. 6 Jiang Tai Road Chao Yang District,39.978565,116.479752,Beijing,北京,116.4696759,39.97293036,116.4735703,39.97648805,0.576210121,1,116.4735703,39.97648805,"39.978565,116.479752","39.976488049437336,116.47357033518247"
6040,China Hotel - A Marriott Hotel,中国大酒店,"122 Liu Hua Road,Guangzhou,Guangdong, China",23.139808,113.260074,Guangzhou,广州,113.255216,23.14262416,113.3579241,23.11873627,0.587206826,1,113.255216,23.14262416,"23.139808,113.260074","23.142624162884914,113.25521597082617"
6109,Swish Hotel Dalian,大连瑞诗酒店,"21 Wu Hui Road, Zhong Shan District",38.915634,121.635788,Dalian,大连,121.6305562,38.91440847,121.6304014,38.91478447,0.47371098,0.5,121.6305562,38.91440847,"38.915634,121.635788","38.91440847332132,121.63055620111325"
6126,Sunworld Dynasty Hotel Wangfujing,北京天伦王朝酒店,50 Wangfujing Avenue. Dongcheng District,39.918121,116.411163,Beijing,北京,116.405501,39.9170424,116.4053469,39.91667335,0.498676368,0.5,116.405501,39.9170424,"39.918121,116.411163","39.917042397617855,116.4055009860964"
6139,Prime hotel Beijing Wangfujing,北京华侨大厦,"2 Wangfujing Avenue, Dongcheng District",39.923428,116.411995,Beijing,北京,116.4050681,39.92166903,116.4052332,39.92219508,0.59405681,1,116.4052332,39.92219508,"39.923428,116.411995","39.92219507573433,116.40523317160296"
6175,Renaissance Yangtze Shanghai Hotel,上海扬子江万丽大酒店,2099 Yan An Xi Road,31.2029,121.405792,Shanghai,上海,,,121.4013313,31.20487943,0.478410425,0.5,121.4013313,31.20487943,"31.2029,121.405792","31.204879428379222,121.4013313496718"
6217,C&D Hotel Xiamen,厦门悦华酒店,No.101 Yuehua Road,24.515343,118.108231,Xiamen,厦门,118.1019617,24.51714968,118.1028854,24.51794015,0.613372205,1,118.1028854,24.51794015,"24.515343,118.108231","24.51794014802265,118.10288543115702"
6411,Novotel Beijing Xinqiao,北京新侨诺富特饭店,1 Chong Wen Men Xi Da Jie,39.90139,116.417122,Beijing,北京,,,116.4105639,39.90010977,0.578566371,1,116.4105639,39.90010977,"39.90139,116.417122","39.90010977307935,116.41056388752224"
6481,Holiday Inn Shanghai Pudong,上海浦东假日酒店,899 Dongfang Road,31.223078,121.529076,Shanghai,上海,121.5246417,31.22430047,121.5243718,31.22517435,0.443707642,0.5,121.5246417,31.22430047,"31.223078,121.529076","31.224300473471928,121.52464173950965"
6667,The Peninsula Beijing,北京王府半岛酒店,"8 Goldfish Lane, Wangfujing,  ",39.914871,116.416458,Beijing,北京,116.4101889,39.91394974,116.4101618,39.91349394,0.545683875,1,116.4101889,39.91394974,"39.914871,116.416458","39.913949737556,116.41018889817788"
6741,Holiday Inn Hangzhou City Center,杭州国际假日酒店,289 North Jianguo Road (Jianguo Bei Lu),30.266712,120.18026,Hangzhou,杭州,120.1741699,30.27629582,120.159743,30.263003,1.21332753,5,120.1741699,30.27629582,"30.266712,120.18026","30.276295815145517,120.17416989841185"
6784,Dong Fang Hotel,东方宾馆,120 Liu Hua Road,23.139709,113.258615,Guangzhou,广州,113.2534369,23.14232395,113.2529841,23.14188427,0.604241606,1,113.2534369,23.14232395,"23.139709,113.258615","23.142323945388235,113.25343685365485"
6794,Hilton Beijing,北京希尔顿酒店,"1 Dong Fang, North Dong Sanhuan Road",39.952751,116.462296,Beijing,北京,116.4562386,39.95192234,116.4561544,39.95178014,0.525736057,1,116.4562386,39.95192234,"39.952751,116.462296","39.95192233714406,116.45623862705968"
6836,Xian Quest Internatinal Hotel,西安紫金山大酒店,"328, HuanchengW Road",34.267717,108.922178,Xian,西安,109.0841191,34.53615186,108.9172946,34.26892598,0.469299391,0.5,108.9172946,34.26892598,"34.267717,108.922178","34.26892597543737,108.91729458590981"
7040,Holiday Inn Zhengzhou Zhongzhou,河南中州假日酒店,115 Jinshui Road,34.762146,113.695282,Zhengzhou,郑州,113.6895591,34.76426179,113.6888593,34.76303523,0.574106571,1,113.6895591,34.76426179,"34.762146,113.695282","34.764261793533706,113.68955910698692"
7139,Grand Hyatt Shanghai,金茂君悦大酒店,Jin Mao Tower 88 Century Boulevard Pudong,31.235262,121.50589,Shanghai,上海,121.5013382,31.23728539,121.5015208,31.23726844,0.471964518,0.5,121.5015208,31.23726844,"31.235262,121.50589","31.237268441662913,121.5015207770488"
7292,Intercontinental Jinan City Center - previous Crowne Plaza Jinan City Center,济南鲁能贵和洲际酒店 - 原济南贵和皇冠假日酒店,3 Tian Di Tan Street,36.66396,117.020035,Jinan,济南,117.0200053,36.66361207,117.0196267,36.66417178,0.038701681,0.5,117.0200053,36.66361207,"36.66396,117.020035","36.66361206899317,117.02000526140358"
7299,"Shangri-La's China World Hotel, Beijing",北京中国大饭店-香格里拉酒店集团,No. 1 Jianguomenwai Avenue,39.908288,116.460571,Beijing,北京,116.4521906,39.90972448,116.3953259,39.9631837,0.734120985,1,116.4521906,39.90972448,"39.908288,116.460571","39.9097244842413,116.45219058518178"
7383,New World Shanghai Hotel,上海巴黎春天新世界酒店,"1555 Dingxi Road, Changning",31.218454,121.420998,Shanghai,上海,121.4163371,31.22053036,121.4163411,31.22022651,0.485305134,0.5,121.4163411,31.22022651,"31.218454,121.420998","31.220226511491063,121.41634109011841"
7516,Holiday Inn City Centre Harbin,哈尔滨万达假日酒店,"NO.90,Jingwei Street (next to Central Street)",45.76733,126.620361,Harbin,哈尔滨,126.6139093,45.76530557,126.6140391,45.76537046,0.537840204,1,126.6140391,45.76537046,"45.76733,126.620361","45.765370464514625,126.61403914139478"
7913,Hotel Jen Shenyang,香格里拉集团沈阳今旅酒店-原沈阳商贸饭店,"68 Zhonghua Road, Heping District",41.791899,123.401919,Shenyang,沈阳,123.3960035,41.78954776,123.3955107,41.78954477,0.556756957,1,123.3960035,41.78954776,"41.791899,123.401919","41.78954775771398,123.39600345484587"
7954,Holiday Inn Beijing Downtown,北京金都假日酒店,"No. 98, Beilishilu",39.925392,116.353844,Beijing,北京,,,116.3478087,39.92389627,0.542014697,1,116.3478087,39.92389627,"39.925392,116.353844","39.923896268968534,116.34780869065692"
8171,The Garden Hotel,广州花园酒店,368 Huanshi Dong Lu,23.135389,113.286072,Guangzhou,广州,113.281073,23.13799706,113.2809448,23.13778101,0.587847386,1,113.281073,23.13799706,"23.135389,113.286072","23.13799706189308,113.28107295847015"
8363,Chengdu Yinhe Dynasty Hotel,成都银河王朝大酒店,"No. 88, Shun Cheng Street",30.658814,104.071121,Chengdu,成都,104.0686221,30.66166574,104.0689087,30.66174336,0.387848237,0.5,104.0689087,30.66174336,"30.658814,104.071121","30.66174335711256,104.06890866196649"
8436,Jinling Hotel Nanjing,南京金陵饭店,2 Hanzhong Road,32.042334,118.782817,Nanjing,南京,118.7778952,32.04392005,118.7775938,32.04468388,0.497014827,0.5,118.7778952,32.04392005,"32.042334,118.782817","32.04392005042973,118.77789521269553"
8540,Zhaolong Hotel,北京兆龙饭店,"No.2.Workers' Stadium N.Road, Chaoyang District",39.933203,116.46055,Beijing,北京,116.454249,39.93176437,116.4541688,39.93189118,0.561782884,1,116.454249,39.93176437,"39.933203,116.46055","39.93176437422547,116.45424901576978"
8608,Shangri-La Hotel Hangzhou,杭州香格里拉酒店,78 Beishan Road,30.252747,120.137107,Hangzhou,杭州,120.1341295,30.25606285,120.132081,30.25479222,0.466082014,0.5,120.1341295,30.25606285,"30.252747,120.137107","30.256062854240646,120.13412946258705"
8610,Hangzhou Zhong Wei Sunny Hotel,杭州中维香溢大酒店,108 Jiefang Rd.,30.250792,120.174625,Hangzhou,杭州,120.1703083,30.25310764,120.1700666,30.25350515,0.48835305,0.5,120.1703083,30.25310764,"30.250792,120.174625","30.253107640696463,120.17030834641278"
8671,Celebrity International Grand Hotel,北京名人国际大酒店,"No. 99 Anli Road, Asian Games Village,",39.995928,116.40624,Beijing,北京,116.401032,39.99458789,116.4007789,39.99442785,0.468994228,0.5,116.401032,39.99458789,"39.995928,116.40624","39.99458789372893,116.40103198120048"
8731,Jianguo Hotel,北京建国饭店,No.5 Jianguomenwai Avenue Chaoyang District,39.908894,116.453247,Beijing,北京,116.4533277,39.90892515,116.4434388,39.90421985,0.007718146,0.5,116.4533277,39.90892515,"39.908894,116.453247","39.908925154035124,116.45332769360837"
8785,Guilin Bravo Hotel,桂林宾馆,14 South Ronghu Road,25.274309,110.28611,Guilin,桂林,110.2822153,25.27694877,110.2817451,25.27668837,0.48928475,0.5,110.2822153,25.27694877,"25.274309,110.28611","25.276948774546646,110.2822153461266"
8882,Hongzhushan Hotel Mount Emei,峨眉山红珠山宾馆,Baoguo Spot,29.56966,103.449366,Mount Emei,峨眉山,,,103.4472249,29.56877712,0.22939715,0.5,103.4472249,29.56877712,"29.56966,103.449366","29.56877712226247,103.44722487918804"
8907,Dunhuang Hotel,敦煌饭店,No.373 North Ming Shan Road,40.144691,94.668829,Dunhuang,敦煌,,,94.66022879,40.1374367,1.089015948,5,94.66022879,40.1374367,"40.144691,94.668829","40.13743669923782,94.66022879077802"
8973,Grand Metropark Hotel Nanjing,南京维景国际大酒店,NO 319 East Zhongshan Road,32.039713,118.823297,Nanjing,南京,118.7944595,32.04193898,118.8182194,32.04199511,0.542256037,1,118.8182194,32.04199511,"32.039713,118.823297","32.04199511274121,118.8182193861661"
9099,Capital Hotel,北京首都大酒店,"No.3 Qian Men East Street, Dongcheng District",39.901901,116.408923,Beijing,北京,116.4020914,39.90076397,116.5659053,40.06207558,0.597704591,1,116.4020914,39.90076397,"39.901901,116.408923","39.900763966322046,116.40209135712492"
